dist_id,district,lat,lon,region,year,flooded,cases,population,wat_cov,san_cov,hw_cov,score,case_rate_per_100k
46,Kanungu,-0.9,29.78,Western,2012,0,0,252144,74,93.0,51.0,50,0.0
46,Kanungu,-0.9,29.78,Western,2013,1,0,252144,74,93.0,51.0,50,0.0
46,Kanungu,-0.9,29.78,Western,2014,0,0,252144,74,93.0,51.0,50,0.0
46,Kanungu,-0.9,29.78,Western,2015,0,0,252144,74,93.0,51.0,50,0.0
46,Kanungu,-0.9,29.78,Western,2016,0,0,252144,74,93.0,51.0,50,0.0
47,Kapchorwa,1.4,34.45,Eastern,2011,0,0,105186,80,82.4,29.4,52,0.0
47,Kapchorwa,1.4,34.45,Eastern,2012,0,0,105186,80,82.4,29.4,52,0.0
47,Kapchorwa,1.4,34.45,Eastern,2013,0,0,105186,80,82.4,29.4,52,0.0
47,Kapchorwa,1.4,34.45,Eastern,2014,0,0,105186,80,82.4,29.4,52,0.0
47,Kapchorwa,1.4,34.45,Eastern,2015,0,0,105186,80,82.4,29.4,52,0.0
47,Kapchorwa,1.4,34.45,Eastern,2016,0,28,105186,80,82.4,29.4,52,26.619512102371036
48,Kasese,0.18,30.08,Western,2011,1,106,694992,92,86.0,33.3,53,15.251974123443146
48,Kasese,0.18,30.08,Western,2012,1,536,694992,92,86.0,33.3,53,77.12318990722196
48,Kasese,0.18,30.08,Western,2013,1,2,694992,92,86.0,33.3,53,0.2877730966687386
48,Kasese,0.18,30.08,Western,2014,1,0,694992,92,86.0,33.3,53,0.0
48,Kasese,0.18,30.08,Western,2015,1,206,694992,92,86.0,33.3,53,29.64062895688008
48,Kasese,0.18,30.08,Western,2016,1,0,694992,92,86.0,33.3,53,0.0
49,Katakwi,1.9,34.0,Eastern,2011,1,0,166231,98,74.6,26.3,50,0.0
49,Katakwi,1.9,34.0,Eastern,2012,1,0,166231,98,74.6,26.3,50,0.0
49,Katakwi,1.9,34.0,Eastern,2013,1,0,166231,98,74.6,26.3,50,0.0
49,Katakwi,1.9,34.0,Eastern,2014,1,0,166231,98,74.6,26.3,50,0.0
49,Katakwi,1.9,34.0,Eastern,2015,0,0,166231,98,74.6,26.3,50,0.0
